tpnc,ean,nazev,znacka,cena_kc,jednotkova_cena,jednotka,energie_kj,energie_kcal,tuky_g,nasycene_mk_g,sacharidy_g,cukry_g,bilkoviny_g,sul_g,vlaknina_g
220319276,05051007147392,Tesco Finest Pečená šunka 100g,TESCO FINEST,34.9,349,kg,719.0,172.0,10.0,3.3,1.9,0.4,18.5,2.1,
220319279,05051007147347,Tesco Finest Pražská šunka 100g,TESCO FINEST,34.9,349,kg,734.0,176.0,11.1,2.1,0.3,0.1,18.5,2.0,
220319604,05051007147316,Tesco Finest Venkovská šunka 100g,TESCO FINEST,34.9,349,kg,734.0,176.0,11.1,2.1,0.3,0.1,18.5,2.0,
130623119,05051007147330,Tesco Finest Fuet salám 170g,TESCO FINEST,59.9,352.35,kg,1762.0,452.0,35.0,12.0,3.2,1.7,24.0,3.5,2.1
130623183,05051007111508,Tesco Finest Mortadella Bologna 120g,TESCO FINEST,49.9,415.83,kg,1333.0,322.0,28.0,15.0,0.6,0.6,16.0,2.5,
220319277,05051007147408,Tesco Finest Uzená šunka s kmínem 100g,TESCO FINEST,34.9,349,kg,734.0,176.0,11.1,2.1,0.3,0.1,18.5,2.0,
220319689,05051007147361,Tesco Finest Jamón Serrano 90g,TESCO FINEST,59.9,665.56,kg,1039.0,248.0,12.0,3.8,0.5,0.5,35.0,4.8,
220320009,05051007147385,Tesco Finest Salami Milano 90g,TESCO FINEST,49.9,554.44,kg,1522.0,367.0,28.5,10.1,0.5,0.5,27.0,4.3,
130623154,05051007111478,Tesco Finest Prosciutto di Parma 70g,TESCO FINEST,69.9,998.57,kg,986.0,236.0,14.1,5.2,0.5,0.5,26.8,5.0,
220347668,05051007159227,Tesco Finest Lovecký salám 400g,TESCO FINEST,139.9,349.75,kg,2150.0,520.0,47.0,17.0,1.0,0.8,23.0,3.4,
105014556,05059944692494,Tesco Finest Pizza Prosciutto Cotto 380g,TESCO FINEST,99.9,262.9,kg,1007.0,241.0,8.3,4.2,30.0,1.5,12.0,1.6,
105031495,05059944694313,Tesco Finest Farmářská paštika 160g,TESCO FINEST,54.9,343.12,kg,1033.0,249.0,,6.7,,5.4,12.0,,1.5
105009397,05059944691589,Tesco Finest Salmon Carpaccio 119g,TESCO FINEST,109.9,923.53,kg,1040.0,250.0,19.0,4.2,0.8,0.8,19.0,3.0,
105014553,05059944692487,Tesco Finest Pizza Carbonara 420g,TESCO FINEST,99.9,237.86,kg,1310.0,313.0,13.0,6.9,33.0,1.5,16.0,2.0,
105031300,05059944694306,Tesco Finest Paštika s husími játry 160g,TESCO FINEST,54.9,343.12,kg,978.0,236.0,,7.7,,0.5,8.7,,0.9
120815893,05051007133678,Tesco Finest Spanish Selection 120g,TESCO FINEST,99.9,832.5,kg,,320,27.0,,2.0,,18.0,,
105029645,05059944693965,Tesco Finest Kabanos 90g,TESCO FINEST,46.9,521.11,kg,,420,36.0,,2.0,,23.0,,
220288219,05051007143325,Tesco Finest Winter Salami 100g,TESCO FINEST,36.9,369,kg,2102.0,508.0,46.0,19.0,0.5,0.5,23.0,4.0,
105014549,05059944692470,Tesco Finest Pizza Quattro Formaggi 450g,TESCO FINEST,99.9,222,kg,1310.0,312.0,14.0,8.1,34.0,1.6,14.0,1.6,
220320008,05051007147323,Tesco Finest Italian Selection 100g,TESCO FINEST,99.9,999,kg,,320,27.0,,2.0,,18.0,,
220355355,05059697777561,Tesco Finest Triple Crème Brie plnotučný měkký sýr s bílou ušlechtilou plísní 125g,TESCO FINEST,84.9,679.2,kg,1680.0,407.0,,26.0,,0.0,12.0,,
220347667,05051007159210,Tesco Finest Lovecký salám s uzenou slaninou 400g,TESCO FINEST,139.9,349.75,kg,1972.0,476.0,41.0,15.0,1.5,1.2,25.0,3.8,
105008187,05051007176637,Tesco Finest Coffee & Amaretto tiramisu 400g,TESCO FINEST,89.9,224.75,kg,1109.0,265.0,,8.9,,22.8,4.1,,
130623193,05051007111485,Tesco Finest Sušené hovězí maso 90g,TESCO FINEST,109.9,1221.11,kg,689.0,163.0,2.9,1.4,0.5,0.5,33.7,3.8,
105026718,05059944693071,Tesco Finest Meat & Cheese Platter 130g,TESCO FINEST,99.9,768.46,kg,1415.0,338.0,25.0,14.0,0.5,0.5,27.0,3.2,
130623200,05051007049061,Tesco Finest Hungarian Gyulai Kolbász Mild 250g,TESCO FINEST,109.9,439.6,kg,2184.0,528.0,47.0,17.5,0.5,0.5,26.0,4.1,0.0
220325117,05051007153607,Tesco Finest Výběr oliv 210g,TESCO FINEST,89.9,428.1,kg,801.0,194.0,17.0,2.2,6.5,0.5,1.6,3.9,4.3
220320006,05051007147354,Tesco Finest Uzený vepřový pupek s kořením 110g,TESCO FINEST,69.9,635.46,kg,1388.0,335.0,29.0,9.5,0.5,0.5,18.0,3.4,0.0
105030330,05059944694061,Tesco Finest Paleta De Cebo Ibérica 70g,TESCO FINEST,129.9,1855.71,kg,1532.0,366.0,28.0,8.8,0.5,0.5,29.0,4.7,
220319690,05051007147378,Tesco Finest Lomo 75g,TESCO FINEST,74.9,998.67,kg,965.0,230.0,10.0,4.1,0.5,0.5,35.0,4.5,1.0
105026716,05059944693064,Tesco Finest Coppa s chilli 70g,TESCO FINEST,94.9,1355.71,kg,1370.0,330.0,26.0,11.0,1.0,0.5,23.0,4.2,
220288218,05051007156301,Tesco Finest Winter Salami 400g,TESCO FINEST,219.9,549.75,kg,2102.0,508.0,46.0,19.0,0.5,0.5,23.0,4.0,
105009172,05059697695247,Tesco Finest Italian Antipasto Platter 188g,TESCO FINEST,169.9,903.72,kg,1019.1,1019.0,15,5,0.3,0,27,9.9,0
105000555,05059944687926,Tesco Finest Mediterranean Tapas 118g,TESCO FINEST,109.9,931.36,kg,,320,27.0,,2.0,,18.0,,
220325116,05051007153584,Tesco Finest Výběr předkrmů 210g,TESCO FINEST,89.9,428.1,kg,938.0,226.0,,10.0,,4.3,7.6,,1.1
100984636,05051007175609,"Tesco Finest Směs datlí v bílé čokoládě, sušených malin v hořké čokoládě posypaných kokosem 150g",TECHNIKA,134.9,899.33,kg,1631.0,389.0,13.0,6.5,57.0,57.0,5.0,0.02,12.0
100984637,05051007175616,Tesco Finest Směs datlí v mléčné čokoládě a posypaných marakujovým granulátem 150g,TECHNIKA,134.9,899.33,kg,1407.0,334.0,5.9,1.9,60.0,59.0,3.8,0.02,13.0
100985270,05051007175630,"Tesco Finest Rozinky, višně, jádra lískových ořechů a mandle v belgické čokoládě 280g",TECHNIKA,199.9,713.93,kg,2071.0,497.0,,13.0,,44.0,8.5,,8.4
100985271,05051007177306,"Tesco Finest Směs jader lískových ořechů, mandlí, rozinek a pomerančové kůry v čokoládě 150g",TECHNIKA,79.9,532.67,kg,2186.0,525.0,34.0,8.7,38.0,38.0,13.0,0.06,6.9
111271512,05059944698991,Tesco Finest Španělská Coppa a sýr Ibérico 90g,TESCO FINEST,99.9,1110,kg,,310,24.0,,2.0,,24.0,,
120692201,05051701081312,Tesco Finest Parmigiano Reggiano polotučný extra tvrdý sýr z nepasterovaného mléka 170g,TESCO FINEST,139.9,822.94,kg,1671.0,402.0,,19.6,,0.0,32.4,,0.0
130393494,05052004063678,Tesco Finest Morbier poloměkký plnotučný zrající sýr z nepasterovaného mléka 200g,TESCO FINEST,139.9,699.5,kg,1453.0,350.0,,20.0,,0.0,22.0,,0.7
220289225,05051007129183,Tesco Finest Porchetta 120g,TESCO FINEST,66.9,557.5,kg,707.0,169.0,10.0,4.2,0.8,0.8,19.0,2.5,
205224642,08719200198951,Hera Classic 250g,Hera,9.9,39.6,kg,2590.0,619.0,70.0,33.0,0.5,0.5,0.0,0.2,
205122214,08594006840217,Tatra Salko Tradiční 397g,Tatra,72.9,183.63,kg,1355.0,321.0,8.0,5.3,55.0,55.0,7.5,0.25,
100579605,05051007115445,Tesco Mandle jádra neloupaná 500g,TESCO,119.9,239.8,kg,2590.0,626.0,54.0,3.9,5.4,6.8,25.0,0.18,
100396889,05051007115483,Tesco Kokos strouhaný 500g,TESCO,81.9,163.8,kg,2752.0,668.0,64.0,60.0,6.6,6.5,7.3,0.13,18.0
219435867,08594006841283,Tatra Salko Karamel 397g,Tatra,76.9,193.7,kg,1355.0,321.0,8.0,5.2,55.0,55.0,7.5,0.25,
100547295,05051007115513,Tesco Rozinky 500g,TESCO,67.9,135.8,kg,1370.0,324.0,1.3,0.4,72.0,69.0,3.5,0.08,5.2
100396865,05051007115711,Tesco Arašídy neloupané pražené 500g,TESCO,59.9,119.8,kg,2480.0,599.0,49.0,7.9,8.3,6.5,25.0,0.11,13.0
205122153,08594006840019,Tatra Grand zahuštěné neslazené mléko 310g,Tatra,51.9,167.42,kg,661.0,158.0,9.0,5.8,11.0,11.0,7.9,0.2,
100547296,05051007115490,Tesco Mletý mák modrý 200g,TESCO,37.9,189.5,kg,2275.0,548.0,42.0,4.8,21.0,3.0,22.0,0.01,
100579662,05051007164603,Tesco Kostky pomerančové a citronové kůry 100g,TESCO,31.9,319,kg,1231.0,290.0,,0.1,,51.0,0.5,,
100579618,05051007164610,Tesco Papája a pomerančová kůra 100g,TESCO,31.9,319,kg,1234.0,290.0,,0.1,,54.0,0.5,,
105008166,05059944691428,Tesco Arašídy loupané pražené nesolené 500g,TESCO,51.9,103.8,kg,2459.0,594.0,48.0,6.8,8.4,7.8,26.0,0.04,12.0
100547269,05051007150385,Tesco Pistácie ve skořápce pražené solené 500g,TESCO,194.9,389.8,kg,2599.0,628.0,52.0,6.0,15.0,7.0,20.0,0.8,10.0
100597026,05051007165846,Tesco Kešu ořechy jádra nepražená 500g,TESCO,174.9,349.8,kg,2440.0,589.0,46.0,8.7,19.0,5.0,20.0,0.12,8.0
100596865,05051007165839,Tesco Kešu ořechy jádra pražená solená 500g,TESCO,174.9,349.8,kg,2530.0,610.0,50.0,8.2,16.0,5.8,21.0,0.82,8.5
100242293,05051007165891,Tesco Švestky vypeckované 500g,TESCO,94.9,189.8,kg,1206.0,285.0,0.5,0.1,64.0,38.0,3.0,0.01,7.0
100241717,05051007165921,Tesco Krájené klikvy 400g,TESCO,79.9,199.75,kg,1394.0,329.0,0.5,0.1,78.0,70.0,2.1,0.01,3.9
130405954,08594010670404,Šetra Babické listové těsto bezlepkové 300g,Šetra,51.9,173,kg,,340,15.0,,45.0,,6.0,,
217826742,08594006840415,Tatra Pikao Tradiční 397g,Tatra,76.9,193.7,kg,1343.0,318.0,8.0,5.3,53.0,53.0,8.5,0.25,
100547297,05051007115506,Tesco Mletý mák modrý termostabilizovaný s cukrem 200g,TESCO,39.9,199.5,kg,2022.0,483.0,30.0,3.2,47.0,22.0,13.0,0.05,
220371540,08586015872754,Dr. Ensa Datle s peckou přislazené 200g,Dr. Ensa,14.9,74.5,kg,1178.0,282.0,0.5,0.1,75.0,63.0,2.5,0.01,8.0
220288721,09005300011535,Ölz Pšeničný toustový chléb 500g,Ölz,54.9,109.8,kg,1091.0,258.0,3.6,0.3,47.0,3.5,8.3,1.3,2.7
220241518,05051007099394,Tesco Závin s náplní makovou 400g,TESCO,47.9,119.75,kg,1253.0,298.0,7.5,0.9,48.6,19.8,6.9,0.4,4.0
220241520,05051007099424,Tesco Závin s náplní tvarohovou 400g,TESCO,47.9,119.75,kg,928.0,220.0,3.3,0.6,37.7,13.3,9.2,0.5,1.1
219639937,00000000600163,Koláč tvarohový s máslovou drobenkou 75g,TESCO,17.9,238.67,kg,1221.0,360,16.0,3.4,49.0,16.9,6.0,,1.7
219639968,00000000600170,Koláč makový s drobenkou 75g,TESCO,17.9,238.67,kg,962,230.0,12.4,1.3,25.1,1.9,3.8,,1.5
220296572,05051007160667,Tesco Linecké rohlíčky polomáčené v kakaové polevě 210g,TESCO,35.9,170.95,kg,1819.0,433.0,17.4,9.6,62.8,32.8,5.0,0.09,2.9
220329811,00000000039390,Tesco Finest Špaldová bageta z kamenné pece 80g,TESCO finest,12.9,161.25,kg,1208.0,255,3.5,0.8,49.0,3.6,8.5,,5.4
220241521,05051007099417,Tesco Závin s náplní ořechovou 400g,TESCO,47.9,119.75,kg,1376.0,327.0,8.3,0.8,54.3,24.7,7.4,0.5,2.5
220322580,00000000038782,Mini koblížek s nugátem 25g,TESCO,9.9,396,kg,2136.0,360,16.0,12.0,49.0,25.0,6.0,,2.2
220241519,05051007099400,Tesco Závin s náplní jablečnou 400g,TESCO,47.9,119.75,kg,1015.0,240.0,3.1,0.4,46.6,19.4,5.0,0.6,2.9
219056888,08594157150029,Medovník Original Classic 850g,Medovník,279.9,329.29,kg,1635.0,390.0,,10.8,,25.1,6.6,,
220288717,09005300011542,Ölz Pšeničný toustový chléb 250g,Ölz,33.9,135.6,kg,1177.0,278.0,3.7,0.4,52.0,2.4,7.9,1.2,2.7
130905299,00000000034494,Koláč jablkový se skořicí a máslovou drobenkou 75g,TESCO,17.9,238.67,kg,1057.0,52,0.2,,14.0,20.0,0.3,,1.8
220262991,00000000035965,Mřížka pudink a jahody 85g,TESCO,11.9,140,kg,1423.0,32,0.3,11.0,7.7,9.8,0.7,,1.3
220288718,09005300011559,Ölz Vícezrnný toast 500g,Ölz,54.9,109.8,kg,1027.0,244.0,3.7,0.47,41.0,3.2,8.5,1.2,6.1
130854646,05901356030589,Ladovy perníčky 225g,Unbranded,39.9,177.33,kg,1410.0,334.0,1.1,0.1,77.8,39.8,4.0,0.01,1.1
130908532,00000000036856,Koláč sváteční 260g,TESCO,37.9,145.77,kg,1100.3,256.0,0.5,0.1,62.9,49.3,0.5,0.08,0.5
220338378,00000000040211,Sýrový šnek 85g,TESCO,17.5,205.88,kg,1460.0,360,16.0,8.4,49.0,3.0,6.0,,
220296571,05051007151894,Tesco Linecké květinky 150g,TESCO,33.9,226,kg,1869.0,446.0,20.0,7.8,60.0,26.0,5.3,0.01,
220317927,08594157150180,Medovník Original Karamel 900g,Medovník,299.9,333.22,kg,1620.0,388.0,18.8,10.8,47.7,25.1,6.6,0.6,
213850697,08001585002115,Balconi Roláda lískooříšková 250g,Balconi,42.9,171.6,kg,1497.0,356.0,11.9,6.4,57.0,37.4,4.8,0.4,
213850529,08001585002108,Balconi Roláda kakaová 250g,Balconi,42.9,171.6,kg,1470.0,349.0,10.7,6.2,57.6,37.7,5.0,0.4,
220288719,09005300011566,Ölz Vícezrnný toast 250g,Ölz,33.9,135.6,kg,1091.0,258.0,3.2,0.3,46.0,3.1,9.0,1.2,4.7
220225922,03800200452503,Karuzo Pita z listového těsta s kakaovo-čokoládovou náplní 82g,Karuzo,14.9,181.71,kg,1725.9,412.9,18.5,7.1,53.6,18.7,6.7,0.3,2.6
220300399,05051007153539,Tesco Finest Semínkový chléb 10 x 35g (350g),TESCO FINEST,61.9,176.86,kg,958.0,230.0,11.0,1.5,18.2,2.2,9.1,1.2,9.5
220232904,03800200452510,Karuzo Pita z listového těsta se sýrovo-borůvkovou náplní 82g,Karuzo,14.9,181.71,kg,1665.3,398.4,16.9,6.4,53.9,8.6,6.6,0.3,2.2
220296573,05051007151900,Tesco Linecké rohlíčky polomáčené 170g,TESCO,32.9,193.53,kg,2087.0,499.0,,12.0,,24.0,5.9,,
220225921,03800200452534,Karuzo Pita z listového těsta se sýrovo-jahodovou náplní 82g,Karuzo,14.9,181.71,kg,1684.1,402.9,17.3,6.6,54.2,8.7,6.5,0.3,2.2
220232903,03800200452527,Karuzo Croissantová buchta se sýrovo-třešňovou náplní 82g,Karuzo,14.9,181.71,kg,1690.7,404.3,21.3,10.2,47.7,20.2,4.8,0.4,1.3
130852251,09005300005916,Ölz Vánočka 500g,Ölz,67.9,135.8,kg,1385.0,328.0,7.5,4.4,57.0,12.0,7.5,1.0,1.4
220240677,08590077415200,Penam Velikonoční perník 60g,Penam,9.9,165,kg,1560.0,373.0,8.6,4.0,66.0,34.0,5.7,0.1,2.9
220324929,08592794064013,Goldfein Roláda s příchutí vaječného likéru 400g,Goldfein,74.9,187.25,kg,1716.0,410.0,17.0,9.8,58.0,34.0,5.0,0.6,0.8
101023883,05063446501000,Tesco Finest Panettone s borůvkami a citronem 750g,TESCO finest,349,465.33,kg,1518.0,362.0,,8.2,,25.5,6.4,,1.3
105003316,08594005290594,Jizerské Pekárny Beránek šlehaný 260g,Jizerské Pekárny,99.9,384.23,kg,1528.0,360,16.0,,49.0,30.0,6.0,,
105013098,08594005291911,Beránek biskupský 400g,Unbranded,139.9,349.75,kg,1661.0,360,16.0,,49.0,30.0,6.0,,
105507231,08594005290310,Beránek šlehaný s tmavou polevou 300g,Jizerské Pekárny,109.9,366.33,kg,1911.0,360,16.0,11.0,49.0,33.0,6.0,,
111276235,08594164683343,Red Velvet beránek 400g,Jizerské Pekárny,129.9,324.75,kg,1491.0,360,16.0,,49.0,27.0,6.0,,
130854617,09005300095672,Ölz Velikonoční chléb 400g,Ölz,74.9,187.25,kg,1416.0,336.0,9.4,2.8,55.0,21.0,6.7,0.7,2.4
130906920,00000000035842,Jidáš 80g,TESCO,10.9,136.25,kg,1490.0,360,16.0,1.1,49.0,13.0,6.0,,2.9
130906953,00000000035873,Mazanec 400g,TESCO,39.9,99.75,kg,1310.0,360,16.0,0.9,49.0,11.0,6.0,,2.5
130912394,00000000044561,Moravský koláč s tvarohovou a borůvkovou náplní 120g,TESCO,24.9,207.5,kg,1184.0,57,0.3,2.5,14.0,22.5,0.7,,2.0
130912405,00000000044578,Mazaneček s čokoládou 80g,TESCO,12.9,161.25,kg,1565.0,360,16.0,3.2,49.0,14.0,6.0,,2.8
130912440,00000000044622,Snack se škvarky 85g,TESCO,15.9,187.06,kg,1803.0,420,36.0,10.4,2.0,1.9,23.0,,1.6
220166195,07622210077141,Brumík čokoládová náplň jemné pečivo 3 x 30g (90g),Opavia,34.9,387.78,kg,1652.0,394.0,16.0,3.0,60.0,29.0,5.0,0.58,1.3
220166196,07622210077196,Brumík mléčná náplň jemné pečivo 3 x 30g (90g),Opavia,34.9,387.78,kg,1629.0,388.0,15.0,2.3,58.0,30.0,6.0,0.61,1.2
220260429,08594161740698,Perníkové vajíčko 30g,Unbranded,27.9,930,kg,1569.0,375.0,,2.5,,32.2,7.0,,
220260431,08594161740636,Perníkový zajíček 45g,Unbranded,35.9,797.78,kg,1704.0,407.0,17.0,13.0,54.0,30.0,6.0,0.06,
220260433,08594161742531,Perník zdobený 22g,Unbranded,25.9,1177.27,kg,1569.0,375.0,3.9,2.5,76.8,32.2,7.0,0.016,
220314963,08594161743804,Perníkové vajíčko s kakaovou polevou 45g,Unbranded,35.9,797.78,kg,1704.0,407.0,17.0,13.0,54.0,30.0,6.0,0.06,
220330698,08592794064044,Roláda čokoládová 400g,Unbranded,74.9,187.25,kg,1638.0,391.0,15.0,7.4,60.0,33.0,5.1,0.73,0.8
220357857,00000000042956,Muffin s citronovou náplní 112g,TESCO,27.9,249.11,kg,1644.0,45,0.2,2.8,11.0,34.0,0.8,,0.8
220371616,00000000044790,Chléb se skyrem pečený na kameni 380g,TESCO,39.9,105,kg,1070.0,255,3.5,0.1,49.0,3.9,8.5,,3.14
220274060,05908230522758,Snack !t Exklusive Kabanos Classic vepřový 50g,Snack !t,24.9,498,kg,2140.0,517.0,44.0,17.0,5.2,1.9,24.0,2.7,
220266553,08594007480573,Kmotr Kmotrovky uherákové 100g,Kmotr,39.9,399,kg,2119.0,511.0,,,,0.8,28.0,,
220032787,05908230523182,Snack !t Exclusive Kabanos Classic vepřový 120g,Snack !t,39.9,332.5,kg,2140.0,517.0,44.0,17.0,52.0,1.9,24.0,2.7,
220266559,08594007480016,Kmotr Uheráková klobása 180g,Kmotr,56.9,316.11,kg,2136.0,517.0,,16.0,,0.6,20.0,,
120064778,08594008886374,"Kostelecké Uzeniny Kostelecký uherák 0,380kg",Kostelecké Uzeniny,119.9,315.53,kg,1819.0,439.0,,14.0,,0.5,25.0,,
220032789,05908230523212,Snack !t Exclusive Kabanos vepřový se sýrem 120g,Snack !t,39.9,332.5,kg,2191.0,529.0,46.0,18.0,2.7,1.4,25.0,2.1,
214339658,05998003186690,"Pick Uherský salám malý 0,400kg",Pick,249.9,624.75,kg,2167.0,524.0,,19.0,,0.5,25.0,,
105000719,05059944688688,Tesco Pařížský salát 400g,TESCO,47.9,119.75,kg,1095.0,265.0,,4.9,,4.6,4.0,,
105000715,05059944688657,Tesco Bramborový salát 400g,TESCO,47.9,119.75,kg,669.0,160.0,,0.9,,4.8,1.6,,
220243825,08588003317476,PRETO Ryba Žilina Treska exklusiv 140g,PRETO Ryba Žilina,35.9,256.43,kg,1093.0,264.0,24.0,1.5,4.0,2.7,8.1,1.2,
220330203,08594007485387,Kmotr Kmotrovky sýrové 100g,Kmotr,39.9,399,kg,2119.0,511.0,,14.0,,0.8,28.0,,
220306474,08594007481570,Kmotr Kmotrovky česnekové 100g,Kmotr,39.9,399,kg,2119.0,511.0,,,,0.8,28.0,,
105031224,05059944694221,Tesco Finest Sous-vide pomalu vařená hovězí žebra v korejském stylu 480g,TESCO FINEST,159.9,333.12,kg,1157.0,279.0,21.3,9.0,0.6,0.3,20.9,1.2,0.6
130719063,05998001792886,"Csabai Lángolt klobása 0,600kg",Csabai,174.9,291.5,kg,2010.0,486.0,,20.0,,0.5,20.0,,
120817845,08594008889115,"Kostelecké Uzeniny Křemešník 0,180kg",Kostelecké Uzeniny,79.9,443.89,kg,1877.0,453.0,,15.0,,0.5,26.0,,
220274059,05908230522765,Snack !t Exclusive Kabanos vepřový s chilli 50g,Snack !t,24.9,498,kg,2294.0,554.0,48.0,19.0,4.5,1.5,25.0,2.5,
220330189,08594007489569,Kmotr Gurmán klobása 180g,Kmotr,56.9,316.11,kg,2035.0,492.0,,13.0,,0.8,24.0,,
120813002,05998003124104,Pick Uherský salám krájený 70g,Pick,62.9,898.57,kg,2157.0,524.0,47.0,19.0,0.5,0.5,25.0,4.2,
220266506,08594007480566,Kmotr Kmotrovky paprikové 100g,Kmotr,39.9,399,kg,2119.0,511.0,,,,0.8,28.0,,
120813025,05998003106124,Pick Maďarská klobása Makoi pálivá 200g,Pick,104.9,524.5,kg,1917.0,463.0,41.0,17.0,0.5,0.5,23.0,4.0,
105000714,05059944688640,Tesco Vlašský salát 400g,TESCO,47.9,119.75,kg,872.0,210.0,,3.8,,4.0,3.7,,
220324251,08595190715282,Delika Šunkové závitky s křenem v aspiku 500g,Delika,64.9,129.8,kg,405.0,97.0,6.9,0.7,4.5,3.1,4.0,1.3,
220259761,08595190708680,Gastro Sváteční aspikový dort s pařížským salátem 500g,Gastro,74.9,149.8,kg,428.0,103.0,7.0,1.4,4.0,2.8,5.9,1.5,
130847868,05998003149329,Pick Pickstick Snack lahůdková klobáska 60g,Pick,36.9,615,kg,2250.0,540.0,50.0,21.0,0.5,0.5,23.0,3.4,
105037555,08594005554016,Gurmán Klub Česneková pomazánka s pažitkou 500g,Gurmán Klub,89.9,179.8,kg,1760.0,420.0,43.0,5.1,2.6,1.4,6.2,1.22,
220134123,08594041519802,Snaq Salámky klasik 60g,Snaq ,44.9,748.33,kg,2041.0,491.0,,14.0,,0.5,33.0,,
105037551,08594005553965,Gurmán Klub Tuňáková pomazánka 500g,Gurmán Klub,109.9,219.8,kg,1217.0,291.0,26.7,6.5,3.2,2.4,10.3,1.15,
220134124,08594041519833,Snaq Mini salámky s chilli 60g,Snaq,44.9,748.33,kg,2041.0,491.0,,14.0,,0.5,33.0,,
130385417,08594001786978,Výběr klobás 3 ks 510g,Unbranded,229.9,450.78,kg,,320,27.0,,2.0,,18.0,,
220329941,08594008887487,"Kostelecké Uzeniny Křemešník v tubě dárkové balení 0,380kg",Kostelecké Uzeniny,189.9,499.74,kg,1877.0,453.0,,15.0,,0.5,26.0,,
105000718,05059944688671,Tesco Ďábelský salát 400g,TESCO,47.9,119.75,kg,997.0,241.0,,3.5,,3.9,3.1,,
130847874,05998003149336,Pick Pickstick Snack pálivá klobáska 60g,Pick,36.9,615,kg,2250.0,540.0,50.0,21.0,0.5,0.5,23.0,3.4,
220266964,08594041519840,Gran Moravia Snaq mini salámky se sýrem 60g,Snaq,44.9,748.33,kg,2148.0,517.0,,15.8,,1.0,34.0,,
120813019,05998003107534,Pick Uherský salám Rakoczi 380g,Pick,214.9,565.53,kg,2150.0,520.0,,19.0,,0.5,24.0,,
220032788,05908230523199,Snack !t Exclusive Kabanos vepřový s chilli 120g,Snack!t,39.9,332.5,kg,2294.0,554.0,48.0,19.0,4.5,1.5,25.0,2.5,
220306471,05410321730275,Sanpareil Zvěřinová paštika se švestkami 280g,Sanpareil,99.9,356.79,kg,1324.0,320.0,27.0,10.3,4.5,3.5,14.0,2.5,
105011368,08594013394307,Krásno Vepřové sádlo škvařené v keramice 500g,Krásno,199.9,399.8,kg,3960.0,896.0,100.0,68.0,0.0,0.0,0.0,0.0,
121309926,08594159203471,"Kostelecké Uzeniny Kostelecký lovecký uherák 0,300kg",Kostelecké Uzeniny,114.9,383,kg,2138.0,516.0,,18.0,,0.5,27.0,,
120817856,08594008889108,"Kostelecké Uzeniny Kostelecký uherák 0,180kg",Kostelecké Uzeniny,79.9,443.89,kg,1819.0,439.0,,14.0,,0.5,25.0,,
220306470,05410321700278,Sanpareil Paštika s kančím masem a medem 280g,Sanpareil,99.9,356.79,kg,1359.0,328.0,28.0,10.4,5.5,4.2,13.5,2.3,
220259758,08594005554641,Gurmán Klub Country tvarůžky v oleji 800g,Gurmán Klub,229.9,287.38,kg,1343.0,321.0,28.0,2.8,2.6,1.6,16.0,3.0,
220058692,08594041517204,"Kostelecké Uzeniny Kostelecká klobása 0,160kg",Kostelecké Uzeniny,69.9,436.88,kg,2070.0,493.0,,18.0,,1.1,23.0,,
220282277,02923840000000,Kostelecké Uzeniny Burgunda ,Kostelecké Uzeniny,289.91,239,kg,1089.0,263.0,,9.0,,0.5,16.0,,
105007925,08593803318011,Madeta Nakládané blaťácké zlato 340g,Madeta,134.9,613.18,kg,1024.0,247.0,19.0,12.0,3.9,1.6,15.0,1.7,
130406008,04770190084109,Vici Chlazený surimi sortiment + lehká majonéza 330g,Vici,139.9,423.94,kg,,180,12.0,,10.0,,8.0,,
105007928,08593803318028,Madeta Jihočeská niva nakládaná 340g,Madeta,134.9,613.18,kg,1013.0,244.0,18.0,12.0,4.4,1.4,16.0,2.8,
220260659,08595121898558,Paté Du Chef Mandlová paštika 300g,Paté Du Chef,99.9,333,kg,,140,6.0,9.2,0.0,2.5,20.0,,
220346820,08595121898572,Paté Du Chef Bruselská paštika s kanadskou brusinkou 300g,Paté Du Chef,99.9,333,kg,1430.0,345.0,,10.1,,10.0,8.0,,
105012071,08594007489675,Kmotr Kmotřenky uherákové 100g,Kmotr,43.9,439,kg,2064.0,498.0,,13.0,,0.6,25.0,,
220306819,04770190066907,Vici Surimi ve tvaru maxi krevet v nálevu 320g,Vici,98.9,309.06,kg,401.0,95,1.0,0.5,8.0,1.6,12.0,,
105012068,08594007489668,Kmotr Kmotřenky classic 100g,Kmotr,43.9,439,kg,2064.0,498.0,,13.0,,0.6,25.0,,
120813048,05998003108357,Pick Snack klobásky pálivé 100g,Pick,44.9,449,kg,2250.0,544.0,,21.0,,0.5,23.0,,
105045108,08594041512230,Kostelecké Uzeniny Kostelecké klobásy duet 440g,Kostelecké Uzeniny,189.9,431.59,kg,,320,27.0,,2.0,,18.0,,
220357751,09001369000619,Stastnik Mini klobásky á la kabanos 70g,Stastnik,34.9,498.57,kg,2143.0,517.0,45.0,19.0,19.0,1.1,27.0,4.9,0.5
105028330,08594007484700,Kmotr Snackid klasik 80g,Kmotr,42.9,536.25,kg,2013.0,485.0,,14.0,,0.7,34.0,,
105012070,08594007489699,Kmotr Kmotřenky paprikové 100g,Kmotr,39.9,399,kg,2064.0,498.0,,13.0,,0.6,25.0,,
